	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	ATF6B	BACH1	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXO3	GTF2B	GTF3A	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT6	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A
ALK1_pathway	CCND1 IL2RA NR3C1 RAN					CALM1 CCND1 CDKN1A DDIT3 EGR2 HSPB1 IL2RA JUN JUNB NUP214 STMN1 YWHAQ						CALM1 CDKN1A DAB2 GBP3 IL2RA INHBA NR3C1 PTPN1 RCAN1 SKIL SLC3A2 TXN		CCND1 CDKN1A DAB2 DUSP1 FOS JUNB PIM1 RAN STMN1 TXN YWHAQ										ATF3 CDKN1A HSPA8 RAN			ATF3 CCND1 CDKN1A DAB2 DDIT3 EGR2 FKBP1A HSPA8 IL2RA JUN JUNB RAN YWHAQ		BATF3 CALM1 CTNNB1 DUSP1 FKBP1A GBP3 HSPB1 IL2RA INHBA IRF7 LSP1 MAP3K8 NR3C1 RAN RCAN1 SKIL SLC3A2	CCND1 CDKN1A DDIT3 HSPA8 HSPB1 LSP1 RAN YWHAQ				DAB2 STMN1		BATF3 EGR2 FKBP1A GBP3 HSPA8 IL2RA LSP1 PTPN1 RAN			ATF3 CALM1 CDKN1A HSPA8 LSP1 RAN YWHAQ							FKBP1A GBP3 IL2RA INHBA IRF7 JUNB PPARG PTPN1 RAN RCAN1 SKIL TXN			CALM1 EGR2 FOS INHBA PIM1 SLC3A2 YWHAQ	ATF3 CCND1 CDKN1A CTNNB1 EGR2 FOS HSPB1 INHBA PIM1 STMN1 TXN	CDKN1A INHBA PIM1 SLC3A2	ATF3 EGR2 FKBP1A HSPA8 HSPB1 LSP1 RAN														HSPA8 IL2RA NR3C1 RAN			ATF3 CALM1 CCND1 CDKN1A JUNB NUP214 YWHAQ		IL2RA RCAN1 SKIL		ATF3 CALM1 CCND1 CDKN1A DDIT3 DUSP1 EGR2 FKBP1A HSPA8 HSPB1 IL2RA JUNB LSP1 RAN YWHAQ												DAB2 LSP1					BATF3 DAB2 FKBP1A GBP3 HSPA8 IL2RA IRF7 LSP1 MAP3K8 PPARG RCAN1 SKIL TXN	ATF3 BATF3 CCND1 FKBP1A GBP3 IL2RA IRF7 JUN MAP3K8 PPARG PTPN1 RAN RCAN1 TXN	CCND1 DUSP1 HSPB1 IL2RA JUNB LSP1 NUP214									ATF3 CCND1 CDKN1A EGR2 INHBA JUNB SLC3A2 STMN1 YWHAQ					CTNNB1 DAB2 STMN1			ATF3 DDIT3 EGR2 HSPA8 HSPB1 JUN RAN YWHAQ										BATF3 DAB2 PPARG		
ALK1_signaling_events	CCND1 IL2RA NR3C1 RAN					CALM1 CCND1 CDKN1A DDIT3 EGR2 HSPB1 IL2RA JUN JUNB NUP214 STMN1 YWHAQ						CALM1 CDKN1A DAB2 GBP3 IL2RA INHBA NR3C1 PTPN1 RCAN1 SKIL SLC3A2 TXN		CCND1 CDKN1A DAB2 DUSP1 FOS JUNB PIM1 RAN STMN1 TXN YWHAQ										ATF3 CDKN1A HSPA8 RAN			ATF3 CCND1 CDKN1A DAB2 DDIT3 EGR2 FKBP1A HSPA8 IL2RA JUN JUNB RAN YWHAQ		BATF3 CALM1 CTNNB1 DUSP1 FKBP1A GBP3 HSPB1 IL2RA INHBA IRF7 LSP1 MAP3K8 NR3C1 RAN RCAN1 SKIL SLC3A2	CCND1 CDKN1A DDIT3 HSPA8 HSPB1 LSP1 RAN YWHAQ				DAB2 STMN1	CCND1 HSPB1 IL2RA LSP1 PPARG RAN	BATF3 EGR2 FKBP1A GBP3 HSPA8 IL2RA LSP1 PTPN1 RAN			ATF3 CALM1 CDKN1A HSPA8 LSP1 RAN YWHAQ							FKBP1A GBP3 IL2RA INHBA IRF7 JUNB PPARG PTPN1 RAN RCAN1 SKIL TXN			CALM1 EGR2 FOS INHBA PIM1 SLC3A2 YWHAQ	ATF3 CCND1 CDKN1A CTNNB1 EGR2 FOS HSPB1 INHBA PIM1 STMN1 TXN	CDKN1A INHBA PIM1 SLC3A2	ATF3 EGR2 FKBP1A HSPA8 HSPB1 LSP1 RAN														HSPA8 IL2RA NR3C1 RAN			ATF3 CALM1 CCND1 CDKN1A JUNB NUP214 YWHAQ		IL2RA RCAN1 SKIL		ATF3 CALM1 CCND1 CDKN1A DDIT3 DUSP1 EGR2 FKBP1A HSPA8 HSPB1 IL2RA JUNB LSP1 RAN YWHAQ												DAB2 LSP1		ATF3 CDKN1A EGR2 HSPA8 IL2RA JUN			BATF3 DAB2 FKBP1A GBP3 HSPA8 IL2RA IRF7 LSP1 MAP3K8 PPARG RCAN1 SKIL TXN	ATF3 BATF3 CCND1 FKBP1A GBP3 IL2RA IRF7 JUN MAP3K8 PPARG PTPN1 RAN RCAN1 TXN	CCND1 DUSP1 HSPB1 IL2RA JUNB LSP1 NUP214									ATF3 CCND1 CDKN1A EGR2 INHBA JUNB SLC3A2 STMN1 YWHAQ					CTNNB1 DAB2 STMN1			ATF3 DDIT3 EGR2 HSPA8 HSPB1 JUN RAN YWHAQ										BATF3 DAB2 PPARG		
AP-1_transcription_factor_network	CCL2 CCND1 IL2RA MMP9 NCOA4 NR3C1 RAN					BNIP3 CALM1 CCND1 CDKN1A CXCR4 DDIT3 EGR2 HCK HLA-A HSP90AA1 HSPB1 ID2 IL2RA JUN JUNB MMP9 NCOA4 NUP214 STMN1 YWHAH YWHAQ	CXCR4 DDIT3 HCK IRF1 PLAUR RCAN1 SLC3A2 TNFRSF4 TXN					ADM ATF4 CALM1 CCL2 CDKN1A DAB2 DUSP5 FABP4 GBP3 HCK ICAM1 IL2RA IRF1 LDHA MMP9 NFKB1 NR3C1 PLIN2 PTPN1 RCAN1 SKIL SLC3A2 SOCS3 STAT4 TIMP1 TXN		BNIP3 CCND1 CDKN1A CITED2 DAB2 DUSP1 DUSP5 FABP4 FKBP5 FOS HSP90AA1 IRF1 JUNB PIM1 PLIN2 RAN STAT1 STMN1 TFRC TNFRSF9 TXN YWHAQ													ATF3 CCND1 CCND2 CDKN1A CEBPD CXCR4 DAB2 DDIT3 EGR2 FKBP1A GSN HIF1A HSP90AA1 HSPA8 ID2 IL2RA JUN JUNB RAN YWHAQ		BATF3 BHLHE41 BNIP3 CALM1 CCL2 CTNNB1 DUSP1 FKBP1A GBP3 HCK HIF1A HLA-A HSPB1 ICAM1 IL2RA IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NCOA4 NFKB1 NR3C1 PLAUR RAN RCAN1 SKIL SLC3A2 SOCS3 STAT4 TIMP1	CCL2 CCND1 CDKN1A DDIT3 FKBP4 HSP90AA1 HSP90B1 HSPA8 HSPB1 LDHA LSP1 MMP9 NCOA4 PLAUR RAN YWHAH YWHAQ		ADM DUSP1 GBP3 GSN H2AFY HLA-A HSP90B1 JUN MCL1 MT2A PLIN2 PPARG STAT1 TNFRSF9		DAB2 STMN1 TNFRSF9	ADM CCND1 GSN H2AFY HCK HSPB1 IL2RA LSP1 PLAUR PPARG RAN STAT4 TNFRSF4	ADM BATF3 BHLHE41 BNIP3 CCND2 EGR2 FKBP1A GBP3 GSN HCK HSPA8 ID2 IL2RA LSP1 MMP9 MT2A PCK2 PLAUR PTPN1 RAN SOCS3 STAT4 TNFRSF4			ATF3 BNIP3 CALM1 CDKN1A CITED2 HSP90AA1 HSPA8 ID2 LSP1 NCOA4 RAN YWHAQ	ATF3 BATF3 CCND1 CCND2 CEBPD CXCR4 DAB2 DDIT3 DUSP1 EGR2 FABP4 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90AA1 HSP90B1 HSPA8 ID2 IL2RA IRF1 JUNB LSP1 MCL1 MDM2 MMP9 NCOA4 NUP214 PLIN2 PPARG RAN SMARCC2 STAT4 STMN1 TNFRSF18 TNFRSF9 YWHAH YWHAQ		BATF3 BHLHE41 CCL2 CCND2 DAB2 FABP4 GBP3 GSN HCK HLA-A ICAM1 IRF7 JUNB MCL1 MT2A NCOA4 PLAUR PPARG PTPN1 SOCS3 STAT1 STAT4 TNFRSF9 TXN				ADM CCL2 CITED2 DUSP5 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MT2A NCOA4 PLIN2 PPARG PTPN1 RAN RCAN1 SKIL SOCS3 STAT1 STAT4 TNFRSF9 TNIK TXN		ADM CITED2 FABP4 FKBP5 GBP3 IRF7 JUNB MCL1 MT2A PLIN2 PPARG PTPN1 SOCS3 STAT1 STAT4 TXN	CALM1 EGR2 FKBP5 FOS PIM1 PLAUR SLC3A2 TIMP1 YWHAH YWHAQ	ATF3 ATF4 BNIP3 CCND1 CDKN1A CEBPD CTNNB1 CXCR4 DUSP5 EGR2 FABP4 FKBP5 FOS HSPB1 PIM1 PLAUR SOCS3 STAT1 STMN1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN	ATF4 CDKN1A DUSP5 PIM1 PLAUR SLC3A2 TNFRSF4	ATF3 CCND2 EGR2 FKBP1A HSPA8 HSPB1 ID2 LSP1 MMP9 MT2A NCOA4 RAN STAT4 YWHAH		ATF4 BATF3 CCL2 DUSP1 HCK ICAM1 IL2RA NFKB1 PLAUR RCAN1 SMARCC2					BNIP3 DUSP5 LDHA		ADM ATF3 ATF4 CCND1 CCND2 DAB2 EGR2 FKBP1A H2AFY HCK HLA-A HSP90AA1 HSPA8 HSPB1 ID2 IL2RA LSP1 MCL1 MMP9 NCOA4 NUP214 PCK2 PPARG RAN RCAN1 STAT4 TIMP1 YWHAH YWHAQ	CCL2 FABP4 LSP1 NCOA4 PLAUR SKIL STAT1 TNFRSF4 TXN			BATF3 BHLHE41 BNIP3 CTNNB1 LDHA LSP1 MCL1 MT2A TIMP1	HSPA8 IL2RA LDHA MMP9 NR3C1 RAN			ATF3 CALM1 CCND1 CDKN1A DUSP5 HSP90AA1 ID2 JUNB NUP214 YWHAQ	ATF4 BATF3 CCND1 CCND2 DAB2 FKBP1A H2AFY HCK HIF1A HLA-A ID2 IL2RA IRF1 LSP1 MAP3K8 MCL1 MDM2 MT2A NCOA4 NFKB1 NR3C1 NUP214 PCK2 PLAUR PPARG PTPN1 RCAN1 SKIL SOCS3 STAT4 TNFRSF4 TXN YWHAQ		BATF3 CCL2 CCND2 DAB2 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 MT2A NFKB1 PCK2 PLAUR PLIN2 PTPN1 RAN SOCS3 STAT1 STAT4 TNFRSF4 TXN	ATF3 BNIP3 CALM1 CCND1 CCND2 CDKN1A DDIT3 DUSP1 EGR2 FKBP1A HCK HIF1A HLA-A HSP90AA1 HSPA8 HSPB1 IL2RA JUNB LSP1 MMP9 PLAUR RAN TFRC TIMP1 YWHAQ	BHLHE41 BNIP3 CALM1 CCL2 FABP4 FKBP1A FKBP5 FOS GBP3 HIF1A ID2 IRF7 JUN LSP1 MT2A NCOA4 PLAUR SKIL TIMP1	ADM ATF4 BATF3 BNIP3 CCL2 CCND1 CCND2 CEBPD DAB2 FABP4 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NCOA4 NFKB1 NR3C1 PCK2 PLAUR PLIN2 PPARG PTPN1 RAN SKIL SOCS3 STAT4 TNFRSF4 TNIK TXN YWHAH		ATF4 BHLHE41 BNIP3 CCL2 CCND2 FABP4 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A ICAM1 ID2 JUN MDM2 MMP9 NR3C1 PCK2 PIM1 PLAUR RCAN1 SKIL SOCS3 STAT4 TIMP1	CCND2 DAB2 EGR2 FABP4 FKBP1A FOS GBP3 GSN H2AFY HCK HLA-A HSP90B1 HSPA8 ID2 IRF1 IRF7 MMP9 MT2A PLIN2 RAN RCAN1 SOCS3 STAT1 STAT4 TNFRSF4 TXN			BATF3 DAB2 FKBP5 GSN H2AFY HLA-A HSP90B1 ICAM1 IRF1 IRF7 JUNB PLIN2 PPARG SOCS3 STAT1 STAT4 TNFRSF18 TNFRSF4 TNFRSF9 TXN	GBP3 HIF1A PLAUR PLIN2 STAT4 TNFRSF4					ADM ATF3 BNIP3 CDKN1A CEBPD EGR2 GSN HIF1A HSPA8 ID2 IL2RA JUN STAT4 YWHAH		ADM CCL2 DAB2 DUSP5 FABP4 GBP3 GSN HLA-A ICAM1 IRF1 IRF7 LSP1 MCL1 MT2A NCOA4 PPARG STAT1 STAT4 TNIK TXN	BATF3 DAB2 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NCOA4 PPARG RCAN1 SKIL SOCS3 STAT1 STAT4 TNFRSF9 TXN	ATF3 BATF3 CCND1 FKBP1A GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL2RA IRF1 IRF7 JUN MAP3K8 MCL1 MMP9 MT2A PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 TNFRSF4 TXN	BNIP3 CCND1 DUSP1 H2AFY HSPB1 IL2RA JUNB LSP1 MCL1 MMP9 MT2A NUP214 STAT1 TIMP1				DUSP1 MDFIC MDM2 TFRC TNFRSF4					ATF3 CCND1 CDKN1A CXCR4 DUSP5 EGR2 JUNB PLAUR SLC3A2 STMN1 TNFRSF18 YWHAQ	HSP90AA1 HSP90B1 LDHA PLAUR SLC3A2			ATF4 FKBP5 HLA-A HSP90AA1 HSPA8 SLC3A2 STAT1 TNFRSF18 TNFRSF9 TXN	ATF4 CTNNB1 CXCR4 DAB2 IRF1 STMN1			ATF3 CXCR4 DDIT3 EGR2 HSP90AA1 HSPA8 HSPB1 JUN RAN YWHAQ			BATF3 CXCR4 HSP90AA1 HSPB1 LDHA TIMP1									
APC/C																		PSMA4 PSMB9			PSME1 PSME2 PTTG1																					PSMA4 PSMB9 PSME1 PSME2 PTTG1 UBE2D1			PSMA4 PSMB9 PSME1 PSME2																											PSMA4 PSMB9 PSME1 PSME2									PSMA4 PSMA7 PSMB9 PSME1 PSME2					PSMA4 PSME1 PSME2			PSMA4 PSMB9 PSME1 PSME2					PSMA4 PSMB9 PSME1																							PSMA4 PSME1 PSME2				
APC/C-mediated_degradation_of_cell_cycle_proteins																		PSMA4 PSMB9			PSME1 PSME2 PTTG1																					PSMA4 PSMB9 PSME1 PSME2 PTTG1 UBE2D1			PSMA4 PSMB9 PSME1 PSME2																																				PSMA4 PSMA7 PSMB9 PSME1 PSME2																																				PSMA4 PSME1 PSME2				
ATF-2_transcription_factor_network						CCND1 DDIT3 JUN JUNB								CCND1 DUSP1 DUSP5 FOS JUNB													ATF3 CCND1 DDIT3 JUN JUNB					DUSP1 H2AFY JUN								ATF3 CCND1 DDIT3 DUSP1 H2AFY JUNB					ATF3 DUSP5 JUNB					ATF3 CCND1 DUSP5 FOS SOCS3							CCND1 DUSP1 JUNB												ATF3 CCND1 DUSP5 JUNB				ATF3 CCND1 DDIT3 DUSP1 JUNB															DUSP1 DUSP5 FOS JUNB SOCS3			ATF3 CCND1 H2AFY JUN	CCND1 DUSP1 H2AFY JUNB									ATF3 CCND1 DUSP5 JUNB								ATF3 DDIT3 JUN				ATF3 H2AFY								
ATM_pathway																	DDIT4 MDM2 SPP1 UBE2D1		CDKN1A MDM2					ATF3 CDKN1A PMAIP1 UBE2D1																										ATF3 BID BTG2 CASP1 CD82 CDKN1A CTSD DUSP5 PLK3 PMAIP1 TAP1	CDKN1A CTSD DUSP5 PLK3 TAP1				CDKN1A CTSD PLK3 PMAIP1								CD82 CTSD PLK3						ATF3 CDKN1A CTSD DUSP5 PLK3 RPS27L																																ATF3 BTG2 CD82 CDKN1A CTSD DUSP5 PLK3 RPS27L SPP1									DUSP5 PLK3											
ATR_signaling_pathway														BTG2 CASP1 CD82 CDKN1A DUSP1 DUSP5 PLK3 PMAIP1 TAP1			DDIT4 MDM2 SPP1 UBE2D1		CDKN1A MDM2					ATF3 CDKN1A PMAIP1 UBE2D1																		BID BTG2 CASP1 CD82 DDIT4 GDF15 MCL1 NBN PYCARD TAP1 UBE2D1								ATF3 BID BTG2 CASP1 CD82 CDKN1A CTSD DUSP5 PLK3 PMAIP1 TAP1	CDKN1A CTSD DUSP5 PLK3 TAP1				CDKN1A CTSD PLK3 PMAIP1								CD82 CTSD PLK3						ATF3 CDKN1A CTSD DUSP5 PLK3 RPS27L																		ATF3 CDKN1A GDF15 JUN PYCARD SPP1	BID BTG2 CASP1 CD82 CDKN1A CTSD DUSP1 DUSP5 GDF15 NBN PLK3 PYCARD TAP1 UBE2D1													ATF3 BTG2 CD82 CDKN1A CTSD DUSP5 PLK3 RPS27L SPP1		ATF3 CDKN1A				ATF3 CDKN1A CTSD RPS27L UBE2D1			DUSP5 PLK3											
Activation,_myristolyation_of_BID_and_translocation_to_mitochondria																																																																						BID VIM					BID VIM		BID VIM		BID VIM							BID VIM																															BID VIM				
Activation_of_APC/C_and_APC/C																		PSMA4 PSMB9			PSME1 PSME2 PTTG1																					PSMA4 PSMB9 PSME1 PSME2 PTTG1 UBE2D1			PSMA4 PSMB9 PSME1 PSME2																											PSMA4 PSMB9 PSME1 PSME2									PSMA4 PSMA7 PSMB9 PSME1 PSME2																																				PSMA4 PSME1 PSME2				
Activation_of_BH3-only_proteins						BID PMAIP1																																												BID PMAIP1																																				BID PMAIP1																																			
Activation_of_NMDA_receptor_upon_glutamate_binding_and_postsynaptic_events												CALM1 PRKACB																																																																		PRKACB RRAS																																											
Adaptive_Immune_System												CD86 FYB HCST HLA-E NFKB1 NFKBIA PSMA7 PSME1 RIPK2 UBE2D1					C3 LAT PTPRC UBE2D1	CTSS PSMA4 PSMB9			CALR HCST PSME1 PSME2 RIPK2			C3 CTSS CYBB UBE2D1					CALR CD80 CD86 CYBB FYB HCST HLA-A MAP3K8 NFKB1 NFKBIA PSMA7 UBE2D1			CYBB HLA-A NFKBIA PSMA7 PSMB9 PSME1 PTPRC	C3 CALR CTSS HLA-A IFITM1 LAT PSMA7 UBE2D1							C3 CALR CD80 CTSS CYBB HLA-A IFITM1 LAT NFKBIA PSMA7 PSMB9 PSME2 PTPRC UBE2D1		CD80 HCST HLA-A PSMA4 PSMB9 PSME1 PSME2 RIPK2 TAP1 UBE2D1	PSMB9 TAP1		HLA-E PSMA4 PSMB9 PSME1 PSME2 TAP1	CD86 HLA-A HLA-E PSMA4 PSMB9 PSME1 PSME2 RIPK2 TAP1	HLA-E PSMB9 PSME1 TAP1	CD86 HCST HLA-E PSMB9 PSME1 PSME2 RIPK2 TAP1						CD80 HLA-E IFITM1 NFKB1 NFKBIA							C3 CALR CD86 CTSS CYBB HCST HLA-A HLA-E LAT NFKBIA PSMA7 PSME1 PTPRC UBE2D1							CYBB FYB LAT		C3 CALR CD80 CD86 CTSS CYBB FYB HCST HLA-A HLA-E LAT MAP3K8 NFKB1 NFKBIA PSMA7 PTPRC UBE2D1		CALR CD80 FYB HCST HLA-A HLA-E NFKB1 NFKBIA PSMA4 PSMB9 PSME1 PSME2 TAP1			C3 CALR CD80 CD86 CYBB HCST HLA-A HLA-E IFITM1 LAT MAP3K8 NFKB1 NFKBIA PSMA4 PSMA7 PSME1 PTPRC RIPK2 TAP1 UBE2D1			C3 CD80 HCST HLA-A HLA-E IFITM1 NFKBIA PSMA7 PSMB9 PSME1 RIPK2 TAP1 UBE2D1	CD86 CYBB FYB HCST HLA-A PSME1 PTPRC		CALR CD80 HCST HLA-A HLA-E NFKBIA PSMA4 PSMA7 PSMB9 PSME1 PSME2							C3 CD80 HCST HLA-A HLA-E IFITM1 NFKBIA PSMA4 PSMB9 PSME2 RIPK2 TAP1 UBE2D1	CD80 HLA-A NFKBIA PSMA4 PSMB9 PSME1 PSME2 RIPK2 TAP1	C3 CALR CD80 CD86 HLA-A HLA-E IFITM1 MAP3K8 PSMA4 TAP1 UBE2D1	C3 CALR HCST HLA-E IFITM1 LAT MAP3K8 NFKBIA TAP1 UBE2D1			HLA-E IFITM1 NFKBIA PSMA4 PSMB9 PSME1						FYB PSMA7				C3 CALR CD80 CD86 FYB HCST HLA-E IFITM1 MAP3K8 NFKBIA PSMA7 PSME1 PSME2	CD86 HLA-A HLA-E PSMA4 PSMB9 TAP1											CALR CD80 CD86 HCST HLA-A IFITM1	LAT NFKBIA PSMA4 PSME1 PSME2				
Alpha-synuclein_signaling								FKBP1A SNCA															FKBP1A SNCA																																		FKBP1A SNCA																FKBP1A SNCA UCHL1																																																
Alpha4_beta1_integrin_signaling_events																																								CD14 MDK PRKACB SPP1	CD14 SPP1																																																							CD14 MDK					MDK SPP1			MDK PRKACB SPP1									CD14 PRKACB								
Alpha6Beta4Integrin			MBP VIM			MMP7 YWHAH YWHAQ																																											VIM YWHAH YWHAQ									YWHAH YWHAQ					MBP MMP7																							MMP7 VIM YWHAH																																			
