TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp429	1600014C10Rik	-0.12592	45.11	-1.1E-01	rgb(194,203,221)	1.8838	2,2
Zfp429	1700030K09Rik	-0.14712	45.19	-1.9E-01	rgb(176,192,224)	1.8854	2,2
Zfp429	2010005H15Rik	0.098099	44.32	0.322	rgb(221,155,156)	1.868	2,2
Zfp429	2610035D17Rik	0.75875	50.27	0.265	rgb(220,166,167)	1.9872	2,2
Zfp960	2610035D17Rik	-0.40935	48.14	-1.8E-01	rgb(178,193,224)	1.9445	2,2
Phf20	2810410L24Rik	0.010136	43.29	0.359	rgb(221,149,149)	1.8473	2,2
Phf20	2900026A02Rik	-0.087963	45	-1.2E-01	rgb(190,201,222)	1.8816	2,2
Gm13157	6530402F18Rik	0.02193	43.44	0.442	rgb(222,132,133)	1.8503	2,2
Zfp868	6530402F18Rik	-0.95605	50.46	-4.6E-01	rgb(117,156,235)	1.991	2,2
Zfp960	6530402F18Rik	-0.14233	45.17	-1.7E-01	rgb(180,194,223)	1.885	2,2
Zfp960	9930014A18Rik	-0.26637	46.28	-2.8E-01	rgb(155,179,228)	1.9072	2,2
Zfp960	Aard	0.17067	45.26	0.262	rgb(220,167,168)	1.8868	2,2
Phf20	Abat	0.47257	48.33	0.327	rgb(221,154,155)	1.9483	2,2
Phf20	Abca5	0.60363	49.32	0.315	rgb(220,157,157)	1.9681	2,2
Zfp429	Abcc3	0.25141	46.29	0.285	rgb(220,162,163)	1.9074	2,2
Phf20	Acnat1	0.14379	45.18	0.178	rgb(219,183,183)	1.8852	2,2
Zfp429	Acnat1	-0.63956	49.54	-5.4E-01	rgb(100,146,237)	1.9726	2,2
Zfp960	Acnat1	0.54826	49.21	0.298	rgb(220,160,161)	1.9659	2,2
Zfp960	Acvrl1	-0.43018	48.2	-2.0E-01	rgb(174,191,224)	1.9457	2,2
Zfp429	Ada	-0.59721	49.31	-3.9E-01	rgb(133,166,232)	1.9679	2,2
Phf20	Adarb1	0.34515	47.24	0.242	rgb(220,171,171)	1.9265	2,2
Phf20	Adcy4	0.81973	50.31	0.315	rgb(220,157,158)	1.988	2,2
Zfp429	Afap1l1	-0.11375	45.15	-1.5E-01	rgb(184,197,223)	1.8846	2,2
Phf20	Aga	-0.76948	50.28	-2.8E-01	rgb(157,181,227)	1.9874	2,2
Zfp868	Akr1cl	0.35092	47.29	0.287	rgb(220,162,163)	1.9275	2,2
Zfp429	Amph	-0.35577	47.27	-2.7E-01	rgb(159,182,227)	1.9271	2,2
Zfp429	Ankrd33b	0.96745	50.51	0.513	rgb(223,119,120)	1.992	2,2
Phf20	Anxa4	0.040339	44.2	0.201	rgb(219,179,179)	1.8656	2,2
Zfp960	Apobec2	-0.22173	46.14	-1.4E-01	rgb(187,199,222)	1.9044	2,2
Zfp429	Apold1	-0.99538	50.65	-6.5E-01	rgb( 77,132,242)	1.9948	2,2
Zfp960	Apold1	0.057891	44.25	0.247	rgb(220,170,170)	1.8666	2,2
