TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
C030039L03Rik	2310022B05Rik	0.48358	48.34	0.34	rgb(221,152,153)	1.9485	2,2
Hif1a	2310022B05Rik	0.99966	50.79	0.785	rgb(226, 67, 69)	1.9976	2,2
Hif3a	2310022B05Rik	0.73808	50.25	0.25	rgb(220,169,170)	1.9868	2,2
Kdm5b	2310022B05Rik	0.28295	46.36	0.355	rgb(221,149,150)	1.9088	2,2
C030039L03Rik	5330426P16Rik	0.59721	49.31	0.309	rgb(220,158,159)	1.9679	2,2
Heyl	5330426P16Rik	0.34729	47.28	0.282	rgb(220,163,164)	1.9273	2,2
Hif1a	5330426P16Rik	0.81973	50.31	0.311	rgb(220,158,158)	1.988	2,2
Hif3a	5330426P16Rik	0.21576	46.12	0.125	rgb(218,193,193)	1.904	2,2
Zfp112	5330426P16Rik	-0.1733	45.27	-2.7E-01	rgb(158,181,227)	1.887	2,2
Heyl	Aldoa	-0.44697	48.24	-2.4E-01	rgb(165,186,226)	1.9465	None
Hif1a	Aldoa	0.99916	50.74	0.744	rgb(225, 75, 76)	1.9966	2,2
Hif3a	Aldoa	0.46719	48.29	0.286	rgb(220,162,163)	1.9475	2,2
Kdm5b	Aldoa	0.78001	50.29	0.289	rgb(220,162,162)	1.9876	2,2
C030039L03Rik	Arrb1	0.26637	46.28	0.282	rgb(220,163,164)	1.9072	2,2
Hif1a	Arrb1	0.99937	50.76	0.759	rgb(225, 72, 74)	1.997	None
Hif3a	Arrb1	0.96745	50.51	0.508	rgb(223,120,121)	1.992	2,2
Kdm5b	Arrb1	0.152	45.2	0.2	rgb(219,179,179)	1.8856	2,2
Zfp112	Arrb1	-0.62156	49.38	-3.8E-01	rgb(134,166,232)	1.9693	2,2
C030039L03Rik	Atp7b	0.98541	50.54	0.538	rgb(223,114,115)	1.9926	2,2
Heyl	Atp7b	0.78502	50.28	0.278	rgb(220,164,164)	1.9874	2,2
Hif1a	Atp7b	0.97582	50.51	0.509	rgb(223,120,121)	1.992	2,2
Hif3a	Atp7b	0.87479	50.38	0.376	rgb(221,145,146)	1.9894	2,2
Kdm5b	Atp7b	0.88983	50.39	0.394	rgb(221,142,142)	1.9896	2,2
C030039L03Rik	Bcar1	0.97097	50.52	0.523	rgb(223,117,118)	1.9922	2,2
Hif1a	Bcar1	0.99737	50.66	0.66	rgb(224, 91, 92)	1.995	2,2
Hif3a	Bcar1	0.80319	50.31	0.306	rgb(220,159,159)	1.988	2,2
Zfp112	Bcar1	-0.080622	44.24	-2.4E-01	rgb(165,185,226)	1.8664	2,2
C030039L03Rik	Bnip3	0.94125	50.46	0.462	rgb(222,129,130)	1.991	2,2
Hif1a	Bnip3	0.99981	50.84	0.844	rgb(226, 56, 57)	1.9986	None
