TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Irf4	2900026A02Rik	-0.92016	50.43	-4.3E-01	rgb(123,160,233)	1.9904	None
Nfat5	2900026A02Rik	0.68612	50.17	0.173	rgb(219,184,184)	1.9852	None
Irf4	4930412O13Rik	-0.14233	45.17	-1.7E-01	rgb(179,194,224)	1.885	2,2
St18	4930412O13Rik	0.21036	46.17	0.173	rgb(219,184,184)	1.905	2,2
Dzip1	Abcd3	0.64339	49.5	0.501	rgb(223,121,122)	1.9717	2,2
Irf4	Abcd3	-0.99538	50.65	-6.5E-01	rgb( 76,131,242)	1.9948	None
Zeb2	Abcd3	0.0024781	44.05	0.268	rgb(220,166,166)	1.8626	2,2
Dzip1	Abcg2	0.92346	50.41	0.409	rgb(221,139,140)	1.99	2,2
Irf4	Abcg2	-0.67753	50.17	-1.7E-01	rgb(181,195,223)	1.9852	None
Dzip1	Abcg3	0.32061	47.21	0.209	rgb(219,177,178)	1.9259	2,2
Irf4	Abcg3	-0.9038	50.41	-4.1E-01	rgb(128,163,233)	1.99	None
Dzip1	Adam19	-0.63961	49.46	-4.6E-01	rgb(116,156,235)	1.9709	2,2
Irf4	Adam19	-0.51155	49.13	-1.3E-01	rgb(190,200,222)	1.9643	None
Nfat5	Adam19	-0.46892	48.32	-3.2E-01	rgb(148,175,229)	1.9481	None
Nfat5	Adora2a	0.89475	50.38	0.384	rgb(221,144,144)	1.9894	None
Zeb2	Adora2a	0.98181	50.56	0.563	rgb(223,109,111)	1.993	2,2
Dzip1	Aff3	-0.082597	44.37	-3.7E-01	rgb(137,168,231)	1.869	2,2
Nfat5	Aff3	-0.28919	47.12	-1.2E-01	rgb(192,202,221)	1.9241	None
Zeb2	Aff3	-0.88983	50.39	-3.9E-01	rgb(133,166,232)	1.9896	2,2
Dzip1	Akap2	0.87479	50.36	0.463	rgb(222,129,130)	1.989	2,2
Prdm8	Akap2	0.95605	50.46	0.46	rgb(222,129,130)	1.991	2,2
Irf4	Amph	-0.72884	50.24	-2.4E-01	rgb(164,185,226)	1.9866	2,2
Prdm8	Amph	0.71599	50.21	0.219	rgb(219,175,176)	1.986	2,2
Irf4	Angpt1	-0.58485	49.28	-2.8E-01	rgb(156,180,228)	1.9673	2,2
Nfat5	Angpt1	0.22432	46.21	0.211	rgb(219,177,177)	1.9058	2,2
St18	Angpt1	0.77473	50.27	0.271	rgb(220,165,166)	1.9872	2,2
Irf4	Antxr2	-0.42389	48.18	-1.8E-01	rgb(178,193,224)	1.9453	None
Prdm8	Antxr2	0.96154	50.47	0.471	rgb(222,127,128)	1.9912	2,2
Dzip1	Apobec1	0.87479	50.36	0.36	rgb(221,148,149)	1.989	2,2
Irf4	Apobec1	-0.79083	50.3	-3.0E-01	rgb(152,178,228)	1.9878	None
Prdm8	Apoh	0.57179	49.26	0.262	rgb(220,167,167)	1.9669	2,2
St18	Apoh	0.36393	47.34	0.338	rgb(221,152,153)	1.9285	2,2
Dzip1	Areg	0.31412	47.15	0.153	rgb(219,188,188)	1.9247	2,2
St18	Areg	0.40935	48.14	0.183	rgb(219,182,182)	1.9445	2,2
Irf4	Arhgef6	-0.74841	50.26	-2.6E-01	rgb(161,183,227)	1.987	None
Nfat5	Arhgef6	0.23779	46.25	0.248	rgb(220,170,170)	1.9066	2,2
Dzip1	Arrb2	-0.90766	50.39	-3.9E-01	rgb(132,165,232)	1.9896	2,2
Zeb2	Arrb2	-0.010136	43.29	-2.9E-01	rgb(155,179,228)	1.8473	2,2
Dzip1	Arsb	0.28903	46.43	0.433	rgb(222,134,135)	1.9102	2,2
Irf4	Arsb	-0.72044	50.23	-2.3E-01	rgb(167,187,226)	1.9864	None
Irf4	Asb2	-0.50999	49.07	-6.5E-02	rgb(203,208,219)	1.9631	None
Zeb2	Asb2	0.38906	47.48	0.476	rgb(222,126,127)	1.9313	2,2
Dzip1	Atp8b4	0.57179	49.26	0.261	rgb(220,167,168)	1.9669	2,2
Irf4	Atp8b4	-0.9864	50.58	-5.8E-01	rgb( 91,140,239)	1.9934	None
Nfat5	Atp8b4	0.86486	50.35	0.351	rgb(221,150,151)	1.9888	2,2
Zeb2	Atp8b4	0.79685	50.29	0.293	rgb(220,161,162)	1.9876	2,2
Irf4	Atxn1	0.9744	50.53	0.528	rgb(223,116,117)	1.9924	None
Nfat5	Atxn1	0.18284	46.04	0.039	rgb(217,209,210)	1.9024	None
Irf4	Batf	-0.60984	49.34	-3.4E-01	rgb(144,172,230)	1.9685	None
St18	Batf	0.51491	49.14	0.138	rgb(219,191,191)	1.9645	2,2
Irf4	Bdh2	-0.5414	49.19	-1.9E-01	rgb(175,191,224)	1.9655	2,2
Prdm8	Bdh2	0.13611	45.15	0.23	rgb(220,173,174)	1.8846	2,2
Irf4	Bmp2	0.32061	47.21	0.208	rgb(219,177,178)	1.9259	None
Nfat5	Bmp2	0.46531	48.31	0.309	rgb(220,158,159)	1.9479	2,2
Dzip1	Boc	0.40114	48.15	0.146	rgb(219,189,189)	1.9447	2,2
Irf4	Boc	-0.56916	49.25	-2.5E-01	rgb(163,184,227)	1.9667	2,2
Zeb2	Boc	0.93072	50.42	0.417	rgb(222,137,138)	1.9902	2,2
Irf4	Cacna1s	0.98446	50.57	0.571	rgb(223,108,109)	1.9932	2,2
Nfat5	Cacna1s	0.19035	46.09	0.091	rgb(218,200,200)	1.9034	None
Dzip1	Calcr	0.53894	49.2	0.199	rgb(219,179,179)	1.9657	2,2
Prdm8	Calcr	0.85362	50.34	0.337	rgb(221,153,153)	1.9886	2,2
Irf4	Calcrl	-0.62439	49.39	-3.9E-01	rgb(132,165,232)	1.9695	None
Nfat5	Calcrl	0.92346	50.41	0.406	rgb(221,139,140)	1.99	None
Irf4	Calhm1	0.59721	49.31	0.308	rgb(220,158,159)	1.9679	None
Zeb2	Calhm1	-0.46154	48.3	-3.0E-01	rgb(153,178,228)	1.9477	2,2
Irf4	Cap2	-0.58711	49.29	-2.9E-01	rgb(153,178,228)	1.9675	2,2
Prdm8	Cap2	0.004155	44.06	0.065	rgb(218,205,205)	1.8628	2,2
Irf4	Car5b	0.80319	50.31	0.311	rgb(220,158,158)	1.988	None
Nfat5	Car5b	0.75361	50.25	0.247	rgb(220,170,170)	1.9868	None
Irf4	Cav2	-0.74841	50.26	-2.6E-01	rgb(161,183,227)	1.987	None
Nfat5	Cav2	0.21986	46.2	0.196	rgb(219,179,180)	1.9056	2,2
Nfat5	Ccdc80	0.62284	49.37	0.367	rgb(221,147,148)	1.9691	2,2
Prdm8	Ccdc80	0.70389	50.21	0.207	rgb(219,177,178)	1.986	2,2
Dzip1	Ccl4	-0.088914	44.27	-2.7E-01	rgb(159,181,227)	1.867	2,2
Irf4	Ccl4	0.19314	46.11	0.113	rgb(218,195,196)	1.9038	2,2
Dzip1	Ccl9	0.16387	45.31	0.308	rgb(220,158,159)	1.8878	2,2
Nfat5	Ccl9	0.74317	50.24	0.236	rgb(220,172,172)	1.9866	2,2
Prdm8	Ccl9	0.52037	49.14	0.136	rgb(218,191,191)	1.9645	2,2
Zeb2	Ccl9	0.81418	50.32	0.323	rgb(221,155,156)	1.9882	2,2
Irf4	Cd180	-0.79083	50.3	-3.0E-01	rgb(152,177,228)	1.9878	2,2
St18	Cd180	0.88983	50.39	0.394	rgb(221,142,143)	1.9896	2,2
Nfat5	Cd70	0.59463	49.3	0.299	rgb(220,160,160)	1.9677	2,2
Prdm8	Cd70	0.78502	50.28	0.284	rgb(220,163,163)	1.9874	2,2
Dzip1	Cd83	0.84261	50.33	0.333	rgb(221,153,154)	1.9884	2,2
Irf4	Cd83	-0.67265	50.16	-1.6E-01	rgb(183,196,223)	1.985	None
Nfat5	Cd84	0.9158	50.4	0.396	rgb(221,141,142)	1.9898	2,2
Prdm8	Cd84	0.4351	48.21	0.206	rgb(219,178,178)	1.9459	2,2
Nfat5	Cdc42ep3	0.83091	50.32	0.32	rgb(221,156,156)	1.9882	2,2
Zeb2	Cdc42ep3	0.50682	49.11	0.115	rgb(218,195,195)	1.9639	2,2
Irf4	Cdkl5	0.26342	46.27	0.272	rgb(220,165,166)	1.907	None
Prdm8	Cdkl5	-0.32789	47.23	-3.6E-01	rgb(138,169,231)	1.9263	2,2
Irf4	Cdkn2b	-0.17067	45.26	-2.6E-01	rgb(161,183,227)	1.8868	2,2
Nfat5	Cdkn2b	0.40762	48.17	0.173	rgb(219,184,184)	1.9451	None
Dzip1	Ces2c	0.80818	50.3	0.299	rgb(220,160,160)	1.9878	2,2
Irf4	Ces2c	-0.8701	50.37	-3.7E-01	rgb(137,169,231)	1.9892	2,2
Irf4	Ces2d-ps	-0.42569	48.19	-1.9E-01	rgb(175,192,224)	1.9455	2,2
Prdm8	Ces2d-ps	0.0091112	44.09	0.091	rgb(218,200,200)	1.8634	2,2
St18	Ces2d-ps	0.48901	48.41	0.414	rgb(222,138,139)	1.9499	2,2
Dzip1	Clec2i	0.93795	50.43	0.432	rgb(222,135,135)	1.9904	2,2
Irf4	Clec2i	-0.89963	50.4	-4.0E-01	rgb(130,164,232)	1.9898	None
Irf4	Clec7a	-0.6403	49.56	-5.6E-01	rgb( 96,144,238)	1.973	2,2
Nfat5	Clec7a	0.85362	50.34	0.344	rgb(221,151,152)	1.9886	2,2
Dzip1	Cmpk2	0.61714	49.36	0.405	rgb(221,140,140)	1.9689	2,2
St18	Cmpk2	0.46154	48.3	0.297	rgb(220,160,161)	1.9477	2,2
Dzip1	Cnrip1	0.57921	49.27	0.271	rgb(220,165,166)	1.9671	2,2
Prdm8	Cnrip1	0.70766	50.2	0.201	rgb(219,179,179)	1.9858	2,2
Prdm8	Col5a3	0.33579	47.25	0.254	rgb(220,168,169)	1.9267	2,2
Zeb2	Col5a3	0.83719	50.34	0.341	rgb(221,152,153)	1.9886	2,2
Dzip1	Crtam	0.45318	48.28	0.279	rgb(220,164,164)	1.9473	2,2
Irf4	Crtam	-0.99264	50.62	-6.2E-01	rgb( 83,136,240)	1.9942	2,2
Prdm8	Crtam	0.50868	49.12	0.124	rgb(218,193,193)	1.9641	2,2
Zeb2	Crtam	0.92715	50.44	0.439	rgb(222,133,134)	1.9906	2,2
Irf4	Csf2	-0.10721	44.4	-4.0E-01	rgb(130,164,232)	1.8696	2,2
Nfat5	Csf2	0.34356	47.27	0.27	rgb(220,166,166)	1.9271	2,2
Zeb2	Csf2	0.28349	47.09	0.093	rgb(218,199,199)	1.9235	2,2
Dzip1	Cxcl2	0.77473	50.27	0.272	rgb(220,165,166)	1.9872	2,2
Irf4	Cxcl2	-0.89963	50.4	-4.0E-01	rgb(131,165,232)	1.9898	2,2
Zeb2	Cxcl2	0.43719	48.24	0.236	rgb(220,172,172)	1.9465	2,2
Irf4	Ddit4l	0.79685	50.29	0.292	rgb(220,161,162)	1.9876	None
Prdm8	Ddit4l	0.13302	45.14	0.139	rgb(219,190,191)	1.8844	2,2
Irf4	Ddr1	0.23598	46.19	0.192	rgb(219,180,181)	1.9054	None
Nfat5	Ddr1	-0.51155	49.13	-1.3E-01	rgb(189,200,222)	1.9643	None
Dzip1	Ddx60	0.81973	50.31	0.308	rgb(220,158,159)	1.988	2,2
Irf4	Ddx60	-0.88983	50.39	-3.9E-01	rgb(133,166,232)	1.9896	None
St18	Ddx60	0.25141	46.29	0.291	rgb(220,161,162)	1.9074	2,2
Irf4	Dgki	-0.94746	50.47	-4.7E-01	rgb(115,155,235)	1.9912	None
Nfat5	Dgki	0.24462	46.27	0.27	rgb(220,165,166)	1.907	2,2
Prdm8	Dgki	0.15066	45.26	0.261	rgb(220,167,168)	1.8868	2,2
