TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zhx1	D16Ertd472e	1	50.31	0.312	rgb(220,157,158)	2	None
Zkscan1	Il17f	-0.99738	50.28	-2.8E-01	rgb(157,181,227)	1.9994	2,2
Irf3	Il17f	-0.99477	50.26	-2.6E-01	rgb(160,182,227)	1.999	2,2
Sp1	Cd4	0.99477	50.26	0.261	rgb(220,167,168)	1.999	None
Yy1	Eif3b	0.99477	50.26	0.261	rgb(220,167,168)	1.999	None
Cebpg	Il17f	0.99215	50.25	0.251	rgb(220,169,170)	1.9988	None
Zkscan1	Timp1	-0.99215	50.25	-2.5E-01	rgb(162,184,227)	1.9988	2,2
Nfe2l1	Peli2	0.98953	50.24	0.237	rgb(220,172,172)	1.9986	None
Sp1	Gstt2	0.98953	50.24	0.242	rgb(220,171,171)	1.9986	None
Irf2	Il17f	-0.98692	50.23	-2.3E-01	rgb(168,187,226)	1.9984	2,2
Yy1	Ddx46	0.98692	50.23	0.227	rgb(220,174,174)	1.9984	None
Zhx1	Clcn3	0.98692	50.23	0.23	rgb(220,173,174)	1.9984	None
Zkscan1	Ifi27l2a	0.98692	50.23	0.225	rgb(219,174,174)	1.9984	None
Zkscan1	Serpinb1a	-0.98692	50.23	-2.3E-01	rgb(168,187,226)	1.9984	2,2
Cebpg	Il1r1	0.9843	50.22	0.218	rgb(219,175,176)	1.9982	None
Zbtb1	Map4k4	0.9843	50.22	0.222	rgb(219,175,175)	1.9982	None
Zkscan1	Aqp3	-0.9843	50.22	-2.2E-01	rgb(169,188,225)	1.9982	2,2
Trps1	Il17f	0.9843	50.22	0.216	rgb(219,176,176)	1.9982	2,2
Batf	Il17a	0.98169	50.21	0.21	rgb(219,177,177)	1.998	None
Irf8	Il17a	-0.98169	50.21	-2.1E-01	rgb(172,189,225)	1.998	2,2
Zfp664	Lpxn	0.98169	50.21	0.207	rgb(219,177,178)	1.998	None
Batf	Il10	0.97907	50.2	0.201	rgb(219,179,179)	1.9978	None
Batf	Il17f	0.97907	50.2	0.198	rgb(219,179,180)	1.9978	2,2
Cebpg	Timp1	0.97907	50.2	0.197	rgb(219,179,180)	1.9978	2,2
Gabpa	Mrpl47	0.97907	50.2	0.2	rgb(219,179,179)	1.9978	None
Irf8	Rpl41	-0.97907	50.2	-2.0E-01	rgb(174,191,224)	1.9978	None
Irf8	Timp1	-0.97907	50.2	-2.0E-01	rgb(173,190,225)	1.9978	2,2
Mlx	Il17f	0.97907	50.2	0.199	rgb(219,179,179)	1.9978	2,2
Sp1	Cetn2	0.97907	50.2	0.196	rgb(219,180,180)	1.9978	None
Sp1	Cyb5b	0.97907	50.2	0.203	rgb(219,178,179)	1.9978	None
Sp1	Gfer	0.97907	50.2	0.199	rgb(219,179,179)	1.9978	None
Zfp664	Prnp	0.97907	50.2	0.203	rgb(219,178,179)	1.9978	None
Zhx1	Kmt2e	0.97907	50.2	0.204	rgb(219,178,179)	1.9978	None
Zhx1	Lactb2	0.97907	50.2	0.205	rgb(219,178,178)	1.9978	None
Zkscan1	Il17a	-0.97907	50.2	-2.0E-01	rgb(174,191,225)	1.9978	2,2
Batf	Atp2b4	0.97645	50.19	0.186	rgb(219,182,182)	1.9976	None
Batf	Emp1	0.97645	50.19	0.188	rgb(219,181,181)	1.9976	None
Batf	Nt5e	0.97645	50.19	0.188	rgb(219,181,181)	1.9976	None
Cebpg	Dst	0.97645	50.19	0.187	rgb(219,181,182)	1.9976	None
Cebpg	Il21	0.97645	50.19	0.188	rgb(219,181,181)	1.9976	None
Cebpg	Rora	0.97645	50.19	0.192	rgb(219,180,181)	1.9976	None
Cux1	Erc1	0.97645	50.19	0.189	rgb(219,181,181)	1.9976	None
Irf2	Il17a	-0.97645	50.19	-1.9E-01	rgb(175,192,224)	1.9976	2,2
Irf3	Rora	-0.97645	50.19	-1.9E-01	rgb(177,193,224)	1.9976	None
Irf3	Serpinb1a	-0.97645	50.19	-1.9E-01	rgb(176,192,224)	1.9976	2,2
Irf3	Timp1	-0.97645	50.19	-1.9E-01	rgb(175,191,224)	1.9976	2,2
Irf8	Il17f	-0.97645	50.19	-1.9E-01	rgb(177,192,224)	1.9976	2,2
Irf8	Pdlim5	-0.97645	50.19	-1.9E-01	rgb(176,192,224)	1.9976	None
Irf8	Rora	-0.97645	50.19	-1.9E-01	rgb(176,192,224)	1.9976	None
Sp1	Tuba1a	0.97645	50.19	0.193	rgb(219,180,181)	1.9976	None
Sp100	Ccnd3	0.97645	50.19	0.193	rgb(219,180,181)	1.9976	None
Yy1	Samm50	0.97645	50.19	0.191	rgb(219,181,181)	1.9976	None
Zfp664	Snrpc	0.97645	50.19	0.194	rgb(219,180,180)	1.9976	None
Zkscan1	Klrd1	-0.97645	50.19	-1.9E-01	rgb(176,192,224)	1.9976	2,2
Zkscan1	Lgals1	-0.97645	50.19	-1.9E-01	rgb(175,191,224)	1.9976	2,2
Zkscan1	Pdpn	-0.97645	50.19	-1.9E-01	rgb(175,191,224)	1.9976	2,2
Trps1	Il17a	0.97645	50.19	0.191	rgb(219,180,181)	1.9976	2,2
Trps1	Serpinb1a	0.97645	50.19	0.189	rgb(219,181,181)	1.9976	2,2
Batf	Ctla2b	0.97384	50.18	0.178	rgb(219,183,183)	1.9974	None
Batf	Pou2af1	0.97384	50.18	0.176	rgb(219,183,184)	1.9974	None
Batf	Timp1	0.97384	50.18	0.18	rgb(219,183,183)	1.9974	2,2
Cebpg	Ctsw	0.97384	50.18	0.175	rgb(219,183,184)	1.9974	2,2
Cebpg	Il17a	0.97384	50.18	0.182	rgb(219,182,183)	1.9974	2,2
Cebpg	Serpinb1a	0.97384	50.18	0.182	rgb(219,182,183)	1.9974	2,2
Cux1	Cysltr1	0.97384	50.18	0.185	rgb(219,182,182)	1.9974	None
Gtf3a	Psmb9	0.97384	50.18	0.18	rgb(219,183,183)	1.9974	None
Irf2	Rora	-0.97384	50.18	-1.8E-01	rgb(178,193,224)	1.9974	None
Irf2	Timp1	-0.97384	50.18	-1.8E-01	rgb(178,193,224)	1.9974	2,2
Irf3	Hspa14	0.97384	50.18	0.185	rgb(219,182,182)	1.9974	None
Rela	Rps20	-0.97384	50.18	-1.8E-01	rgb(177,193,224)	1.9974	None
Sp1	Hmgcr	0.97384	50.18	0.178	rgb(219,183,183)	1.9974	None
Sp1	Irf8	0.97384	50.18	0.179	rgb(219,183,183)	1.9974	None
Tcf3	Tnfrsf18	0.97384	50.18	0.183	rgb(219,182,182)	1.9974	None
Zkscan1	Gm10123	-0.97384	50.18	-1.8E-01	rgb(179,194,224)	1.9974	2,2
Zkscan1	Gm16477	-0.97384	50.18	-1.8E-01	rgb(179,194,224)	1.9974	2,2
Zkscan1	Pigx	0.97384	50.18	0.181	rgb(219,183,183)	1.9974	None
Trps1	Pdpn	0.97384	50.18	0.178	rgb(219,183,183)	1.9974	2,2
Batf	Ccl20	0.97122	50.17	0.171	rgb(219,184,185)	1.9972	None
Batf	Ctla2a	0.97122	50.17	0.167	rgb(219,185,185)	1.9972	None
Batf	Gm15564	0.97122	50.17	0.166	rgb(219,185,186)	1.9972	2,2
Batf	Gm16477	0.97122	50.17	0.173	rgb(219,184,184)	1.9972	2,2
Batf	Pdlim5	0.97122	50.17	0.173	rgb(219,184,184)	1.9972	None
Batf	Serpinb1a	0.97122	50.17	0.165	rgb(219,185,186)	1.9972	2,2
Batf	Zak	0.97122	50.17	0.17	rgb(219,185,185)	1.9972	None
Cebpg	Gm10709	0.97122	50.17	0.166	rgb(219,185,186)	1.9972	2,2
Foxn3	Deb1	0.97122	50.17	0.171	rgb(219,184,185)	1.9972	None
Gabpa	Gimap5	0.97122	50.17	0.17	rgb(219,184,185)	1.9972	None
Irf2	Aqp3	-0.97122	50.17	-1.7E-01	rgb(180,194,223)	1.9972	2,2
Irf2	Utp20	0.97122	50.17	0.175	rgb(219,184,184)	1.9972	None
Irf8	Klrd1	-0.97122	50.17	-1.7E-01	rgb(181,195,223)	1.9972	2,2
Irf8	Lgals1	-0.97122	50.17	-1.7E-01	rgb(179,194,224)	1.9972	2,2
Irf8	Psmb9	0.97122	50.17	0.165	rgb(219,185,186)	1.9972	None
Klf13	Casp3	0.97122	50.17	0.17	rgb(219,184,185)	1.9972	None
Pknox1	Dst	0.97122	50.17	0.17	rgb(219,184,185)	1.9972	None
Pou2af1	Cd101	0.97122	50.17	0.172	rgb(219,184,184)	1.9972	None
Pura	1600014C10Rik	0.97122	50.17	0.166	rgb(219,185,186)	1.9972	None
Stat3	Adam19	0.97122	50.17	0.171	rgb(219,184,185)	1.9972	None
Tcf3	Il17f	-0.97122	50.17	-1.7E-01	rgb(181,195,223)	1.9972	None
Yy1	Rbm8a	0.97122	50.17	0.169	rgb(219,185,185)	1.9972	None
Zkscan1	Cenpq	-0.97122	50.17	-1.7E-01	rgb(179,194,224)	1.9972	2,2
Zkscan1	Ctla2a	-0.97122	50.17	-1.7E-01	rgb(179,194,224)	1.9972	2,2
Zkscan1	Ctla2b	-0.97122	50.17	-1.7E-01	rgb(181,195,223)	1.9972	2,2
Zkscan1	Gm17511	-0.97122	50.17	-1.7E-01	rgb(179,194,224)	1.9972	2,2
Zkscan1	Gm5244	-0.97122	50.17	-1.7E-01	rgb(181,195,223)	1.9972	2,2
Zkscan1	Mcm4	0.97122	50.17	0.172	rgb(219,184,184)	1.9972	None
Zkscan1	Plekhg1	-0.97122	50.17	-1.7E-01	rgb(179,194,224)	1.9972	2,2
Zkscan1	Sgk1	-0.97122	50.17	-1.7E-01	rgb(179,194,224)	1.9972	2,2
Zkscan1	Tnfrsf13b	-0.97122	50.17	-1.7E-01	rgb(181,195,223)	1.9972	2,2
Trps1	Timp1	0.97122	50.17	0.165	rgb(219,185,186)	1.9972	2,2
Foxp1	Klhl6	0.97122	50.17	0.924	rgb(227, 40, 42)	1.9972	None
Foxp1	Map1lc3b	0.97122	50.17	0.924	rgb(227, 40, 42)	1.9972	None
Foxp1	Tnfrsf25	0.97122	50.17	0.924	rgb(227, 40, 42)	1.9972	None
Batf	Cpd	0.9686	50.16	0.158	rgb(219,187,187)	1.997	None
Batf	Cysltr1	0.9686	50.16	0.158	rgb(219,187,187)	1.997	None
Batf	Maf	0.9686	50.16	0.163	rgb(219,186,186)	1.997	2,2
Batf	Rora	0.9686	50.16	0.157	rgb(219,187,187)	1.997	None
Cebpg	Aqp3	0.9686	50.16	0.158	rgb(219,187,187)	1.997	2,2
Cebpg	Egln3	0.9686	50.16	0.161	rgb(219,186,187)	1.997	None
Cebpg	Gm16477	0.9686	50.16	0.161	rgb(219,186,187)	1.997	2,2
Cebpg	Hnrnpa3	0.9686	50.16	0.165	rgb(219,186,186)	1.997	None
Cebpg	Nt5e	0.9686	50.16	0.16	rgb(219,186,187)	1.997	None
Cebpg	Traf6	0.9686	50.16	0.155	rgb(219,187,188)	1.997	None
Cux1	Cd86	0.9686	50.16	0.159	rgb(219,187,187)	1.997	None
Fosl2	Gpr15	0.9686	50.16	0.156	rgb(219,187,187)	1.997	None
Gtf3a	Itk	0.9686	50.16	0.158	rgb(219,187,187)	1.997	None
Irf2	Serpinb1a	-0.9686	50.16	-1.6E-01	rgb(183,196,223)	1.997	2,2
Irf3	Anxa6	0.9686	50.16	0.161	rgb(219,186,187)	1.997	None
Irf3	Gm10709	-0.9686	50.16	-1.6E-01	rgb(183,196,223)	1.997	2,2
Irf3	Il17a	-0.9686	50.16	-1.6E-01	rgb(181,195,223)	1.997	2,2
Irf8	Gm16477	-0.9686	50.16	-1.6E-01	rgb(182,196,223)	1.997	2,2
Irf8	Gm5244	-0.9686	50.16	-1.6E-01	rgb(182,196,223)	1.997	2,2
Irf8	Plod2	-0.9686	50.16	-1.6E-01	rgb(182,196,223)	1.997	2,2
Irf8	Rfc5	0.9686	50.16	0.159	rgb(219,187,187)	1.997	None
Irf8	Sgk1	-0.9686	50.16	-1.6E-01	rgb(182,196,223)	1.997	2,2
Nfe2l1	Pou2af1	0.9686	50.16	0.16	rgb(219,186,187)	1.997	None
Nfe2l1	Rora	0.9686	50.16	0.162	rgb(219,186,186)	1.997	None
Pknox1	Endod1	0.9686	50.16	0.162	rgb(219,186,186)	1.997	None
Plagl2	Hemk1	0.9686	50.16	0.157	rgb(219,187,187)	1.997	None
Prkrir	Gstt2	0.9686	50.16	0.159	rgb(219,187,187)	1.997	None
Sp1	Acat1	0.9686	50.16	0.157	rgb(219,187,187)	1.997	None
Sp1	Cdv3	0.9686	50.16	0.164	rgb(219,186,186)	1.997	None
Sp100	Trappc4	0.9686	50.16	0.158	rgb(219,187,187)	1.997	None
Stat3	Adarb1	0.9686	50.16	0.163	rgb(219,186,186)	1.997	None
Stat3	Dst	0.9686	50.16	0.163	rgb(219,186,186)	1.997	None
Stat3	Il17a	0.9686	50.16	0.156	rgb(219,187,188)	1.997	None
Stat3	Pou2af1	0.9686	50.16	0.155	rgb(219,187,188)	1.997	None
Stat3	Rora	0.9686	50.16	0.163	rgb(219,186,186)	1.997	None
Stat5a	Noc4l	0.9686	50.16	0.158	rgb(219,187,187)	1.997	None
Stat5b	Gimap5	0.9686	50.16	0.161	rgb(219,186,187)	1.997	None
Yy1	Clint1	0.9686	50.16	0.163	rgb(219,186,186)	1.997	None
Zbtb1	Lrrc58	0.9686	50.16	0.164	rgb(219,186,186)	1.997	None
Zfp664	Gpr65	0.9686	50.16	0.16	rgb(219,186,187)	1.997	None
Zhx1	H2afv	0.9686	50.16	0.163	rgb(219,186,186)	1.997	None
Zkscan1	AW112010	0.9686	50.16	0.156	rgb(219,187,188)	1.997	2,2
Zkscan1	Gm12534	-0.9686	50.16	-1.6E-01	rgb(182,195,223)	1.997	2,2
Zkscan1	Mapkapk3	-0.9686	50.16	-1.6E-01	rgb(183,196,223)	1.997	2,2
Zkscan1	Nt5e	-0.9686	50.16	-1.6E-01	rgb(183,196,223)	1.997	2,2
Zkscan1	Plod2	-0.9686	50.16	-1.6E-01	rgb(182,196,223)	1.997	2,2
Trps1	Adam19	0.9686	50.16	0.157	rgb(219,187,187)	1.997	2,2
Trps1	Ctla2b	0.9686	50.16	0.164	rgb(219,186,186)	1.997	2,2
Trps1	Klrd1	0.9686	50.16	0.16	rgb(219,186,187)	1.997	2,2
Trps1	Procr	0.9686	50.16	0.159	rgb(219,187,187)	1.997	2,2
Foxp1	Ssh2	0.9686	50.16	0.924	rgb(227, 40, 42)	1.997	None
Arid2	Fignl1	0.96599	50.15	0.148	rgb(219,189,189)	1.9968	None
Bach2	N4bp1	0.96599	50.15	0.15	rgb(219,188,189)	1.9968	None
Batf	Adarb1	0.96599	50.15	0.149	rgb(219,189,189)	1.9968	None
Batf	Aqp3	0.96599	50.15	0.155	rgb(219,187,188)	1.9968	2,2
Batf	Rnf149	0.96599	50.15	0.148	rgb(219,189,189)	1.9968	None
Cebpg	Cdkn1b	0.96599	50.15	0.146	rgb(219,189,189)	1.9968	None
Cebpg	Ctla2b	0.96599	50.15	0.152	rgb(219,188,188)	1.9968	2,2
Cebpg	Gm5244	0.96599	50.15	0.146	rgb(219,189,189)	1.9968	2,2
Cebpg	Klrd1	0.96599	50.15	0.148	rgb(219,189,189)	1.9968	2,2
Cebpg	Pdlim5	0.96599	50.15	0.149	rgb(219,189,189)	1.9968	None
Cebpg	Pdpn	0.96599	50.15	0.149	rgb(219,189,189)	1.9968	2,2
Cebpg	Pou2af1	0.96599	50.15	0.145	rgb(219,189,190)	1.9968	None
Cebpg	Sgk1	0.96599	50.15	0.147	rgb(219,189,189)	1.9968	2,2
Cebpg	Zak	0.96599	50.15	0.145	rgb(219,189,190)	1.9968	None
Cux1	Ctsb	0.96599	50.15	0.149	rgb(219,189,189)	1.9968	None
Fosl2	Il17f	0.96599	50.15	0.153	rgb(219,188,188)	1.9968	2,2
Fosl2	Pdlim5	0.96599	50.15	0.153	rgb(219,188,188)	1.9968	None
Gabpa	Cox17	0.96599	50.15	0.148	rgb(219,189,189)	1.9968	None
Gabpa	Polr2f	0.96599	50.15	0.154	rgb(219,188,188)	1.9968	None
Hmg20b	Psme1	0.96599	50.15	0.153	rgb(219,188,188)	1.9968	None
Irf2	Maf	-0.96599	50.15	-1.5E-01	rgb(185,198,223)	1.9968	2,2
Irf3	Cd200	0.96599	50.15	0.154	rgb(219,188,188)	1.9968	None
Irf3	Cpd	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	2,2
Irf3	Ctla2a	-0.96599	50.15	-1.5E-01	rgb(185,197,223)	1.9968	2,2
Irf3	Klrd1	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	2,2
Irf3	Pdpn	-0.96599	50.15	-1.5E-01	rgb(185,197,223)	1.9968	2,2
Irf8	Il21	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	None
Irf8	Psme1	0.96599	50.15	0.145	rgb(219,189,190)	1.9968	None
Irf8	Serpinb1a	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	2,2
Mga	Rpf2	0.96599	50.15	0.146	rgb(219,189,189)	1.9968	None
Nfe2l1	Il1r1	0.96599	50.15	0.148	rgb(219,189,189)	1.9968	None
Plagl2	Sumo3	0.96599	50.15	0.147	rgb(219,189,189)	1.9968	None
Sp1	Dnajc19	0.96599	50.15	0.146	rgb(219,189,189)	1.9968	None
Sp1	Nop56	0.96599	50.15	0.149	rgb(219,188,189)	1.9968	None
Sp1	Psmb9	0.96599	50.15	0.145	rgb(219,189,190)	1.9968	None
Sp1	Uqcrc2	0.96599	50.15	0.15	rgb(219,188,189)	1.9968	None
Stat1	Timp1	-0.96599	50.15	-1.5E-01	rgb(185,198,223)	1.9968	2,2
Stat3	Il21	0.96599	50.15	0.147	rgb(219,189,189)	1.9968	None
Stat3	Peli2	0.96599	50.15	0.15	rgb(219,188,189)	1.9968	None
Stat5a	Trnau1ap	0.96599	50.15	0.152	rgb(219,188,188)	1.9968	None
Stat5b	Gm11974	0.96599	50.15	0.151	rgb(219,188,188)	1.9968	None
Zbtb1	Cisd1	0.96599	50.15	0.152	rgb(219,188,188)	1.9968	None
Zfp664	H3f3a	0.96599	50.15	0.147	rgb(219,189,189)	1.9968	None
Zhx1	Cbx3	0.96599	50.15	0.154	rgb(219,188,188)	1.9968	None
Zkscan1	Gm10709	-0.96599	50.15	-1.5E-01	rgb(185,198,223)	1.9968	2,2
Zkscan1	Gm11808	-0.96599	50.15	-1.5E-01	rgb(185,197,223)	1.9968	2,2
Zkscan1	Gm16490	-0.96599	50.15	-1.5E-01	rgb(185,198,223)	1.9968	2,2
Zkscan1	Mrpl1	0.96599	50.15	0.153	rgb(219,188,188)	1.9968	None
Zkscan1	Ramp1	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	2,2
Zkscan1	Rps12	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	2,2
Zkscan1	Rps18	-0.96599	50.15	-1.5E-01	rgb(185,198,223)	1.9968	2,2
Zkscan1	Rps2	-0.96599	50.15	-1.5E-01	rgb(185,197,223)	1.9968	2,2
Zkscan1	Rps3a1	-0.96599	50.15	-1.5E-01	rgb(184,197,223)	1.9968	2,2
Zkscan1	Ybx3	0.96599	50.15	0.152	rgb(219,188,188)	1.9968	None
Hmgb1	Timp1	0.96599	50.15	0.146	rgb(219,189,189)	1.9968	2,2
Trps1	Gm10709	0.96599	50.15	0.154	rgb(219,188,188)	1.9968	2,2
Trps1	Gm15564	0.96599	50.15	0.147	rgb(219,189,189)	1.9968	2,2
Foxp1	Serpinb1a	0.96599	50.15	0.924	rgb(227, 40, 42)	1.9968	2,2
Satb1	Peli2	0.96599	50.15	0.924	rgb(227, 40, 42)	1.9968	None
Arid2	Hmgcs1	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Arid5a	Cd69	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Atf6	Pou2af1	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Batf	1600014C10Rik	0.96337	50.14	0.138	rgb(219,191,191)	1.9966	2,2
Batf	Capg	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Batf	Cd86	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Batf	Dst	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Batf	Klrd1	0.96337	50.14	0.139	rgb(219,191,191)	1.9966	2,2
Batf	Rorc	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Cdc5l	9130401M01Rik	0.96337	50.14	0.145	rgb(219,189,190)	1.9966	None
Cebpg	Cd86	0.96337	50.14	0.137	rgb(219,191,191)	1.9966	None
Cebpg	Gm26924	0.96337	50.14	0.141	rgb(219,190,190)	1.9966	2,2
Cebpg	Lpxn	0.96337	50.14	0.139	rgb(219,191,191)	1.9966	None
Cebpg	Malt1	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Creb1	Lactb2	0.96337	50.14	0.135	rgb(218,191,191)	1.9966	None
Ctcf	Atp5l	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Dnmt1	Gpr65	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Etv6	Lsm1	0.96337	50.14	0.139	rgb(219,190,191)	1.9966	None
Etv6	Polr2h	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Fosl2	Ctsw	0.96337	50.14	0.135	rgb(218,191,191)	1.9966	2,2
Foxo1	Dst	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Foxo1	Macf1	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Gabpa	Gm26924	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Gtf2i	Il17f	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Hif1a	Nans	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Hivep2	Tnfrsf25	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Hmg20b	Celf2	0.96337	50.14	0.145	rgb(219,189,190)	1.9966	None
Hmg20b	Ifi27l2a	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Irf2	Cpd	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Irf2	Ctla2b	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf2	Igfbp4	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf2	Pdpn	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Irf2	Plod2	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf3	Gm10073	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf3	Gm16477	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf3	Pfkl	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Irf3	Riok1	0.96337	50.14	0.145	rgb(219,189,190)	1.9966	None
Irf3	Sparcl1	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf3	Tnfrsf18	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Irf8	Aqp3	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Irf8	Ctla2b	-0.96337	50.14	-1.4E-01	rgb(188,199,222)	1.9966	2,2
Irf8	Gm17511	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf8	Grcc10	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf8	Hspbp1	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Irf8	Nt5e	-0.96337	50.14	-1.4E-01	rgb(186,198,223)	1.9966	2,2
Irf8	Plekhg1	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Irf8	Rorc	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Irf8	Rpl31	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Klf13	Gpr171	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Mlx	Rgs1	0.96337	50.14	0.135	rgb(218,191,191)	1.9966	None
Mlx	Serpinb1a	0.96337	50.14	0.138	rgb(219,191,191)	1.9966	2,2
Mlx	Timp1	0.96337	50.14	0.144	rgb(219,189,190)	1.9966	2,2
Nfatc3	Hivep3	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Nfe2l1	Ikzf3	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Nrf1	Pla2g12a	0.96337	50.14	0.139	rgb(219,190,191)	1.9966	None
Nrf1	Psap	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Rest	Psat1	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Sp1	Ccdc58	0.96337	50.14	0.139	rgb(219,190,191)	1.9966	None
Sp1	Maf	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	None
Sp1	Nt5c	0.96337	50.14	0.145	rgb(219,189,190)	1.9966	None
Sp1	Psmb6	0.96337	50.14	0.137	rgb(219,191,191)	1.9966	None
Sp1	Reep5	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Sp1	Siva1	0.96337	50.14	0.14	rgb(219,190,191)	1.9966	None
Sp110	Wipf1	0.96337	50.14	0.139	rgb(219,190,191)	1.9966	None
Srebf1	Gpr15	0.96337	50.14	0.137	rgb(219,191,191)	1.9966	None
Stat1	Kars	0.96337	50.14	0.137	rgb(219,191,191)	1.9966	None
Stat3	Arf6	0.96337	50.14	0.135	rgb(218,191,191)	1.9966	None
Stat3	Maf	0.96337	50.14	0.135	rgb(218,191,191)	1.9966	2,2
Stat3	Rnf149	0.96337	50.14	0.143	rgb(219,190,190)	1.9966	None
Stat5a	Pim2	0.96337	50.14	0.14	rgb(219,190,191)	1.9966	None
Stat5a	Timp1	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Stat5b	Ccnd2	0.96337	50.14	0.141	rgb(219,190,190)	1.9966	None
Stat6	Bcl2	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Usf2	Atp6v1g1	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	None
Zfx	Ncor1	0.96337	50.14	0.142	rgb(219,190,190)	1.9966	None
Zkscan1	AA467197	-0.96337	50.14	-1.4E-01	rgb(187,199,222)	1.9966	2,2
Zkscan1	Gm10073	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Zkscan1	Rps25	-0.96337	50.14	-1.4E-01	rgb(186,198,222)	1.9966	2,2
Jrkl	Timp1	0.96337	50.14	0.136	rgb(218,191,191)	1.9966	2,2
Trps1	Aqp3	0.96337	50.14	0.14	rgb(219,190,190)	1.9966	2,2
Trps1	Gm12524	0.96337	50.14	0.138	rgb(219,191,191)	1.9966	2,2
Arid2	Gm561	0.96076	50.13	0.126	rgb(218,193,193)	1.9963	None
Arid2	Rfc5	0.96076	50.13	0.126	rgb(218,193,193)	1.9963	None
Atf6	Erc1	0.96076	50.13	0.134	rgb(218,191,192)	1.9963	None
Batf	Cndp2	0.96076	50.13	0.128	rgb(218,193,193)	1.9963	None
Batf	Cyth4	0.96076	50.13	0.127	rgb(218,193,193)	1.9963	None
Batf	Ehd4	0.96076	50.13	0.126	rgb(218,193,193)	1.9963	None
Batf	Igfbp4	0.96076	50.13	0.134	rgb(218,191,192)	1.9963	2,2
Batf	Ikzf3	0.96076	50.13	0.125	rgb(218,193,193)	1.9963	None
Batf	Pdpn	0.96076	50.13	0.134	rgb(218,191,192)	1.9963	2,2
Batf	Procr	0.96076	50.13	0.126	rgb(218,193,193)	1.9963	2,2
Cebpg	Aplp2	0.96076	50.13	0.127	rgb(218,193,193)	1.9963	None
